nama_premis,alamat,nama_jalan,bandar,daerah,negeri,poskod,jenis_urus_niaga,pdl_pp_tkh_kuatkuasa_hingga
FARMASI ANNUR MUHIBAH SDN. BHD.,NO.7A,"Taman Awana, Jalan Dulang",Yan,Yan,Kedah,06900,Runcit,2020/12/31 00:00:00.000
FARMASI APOLLO [FARMASI APOLLO],6929,Jalan Ong Yi How,Butterworth,Seberang Perai Utara,Pulau Pinang,13400,Runcit,2020/12/31 00:00:00.000
Farmasi Ar Ridzuan PLT [FARMASI Ar Ridzuan],No. 22,"Jalan Meru Impian A1, Pusat Perniagaan Meru Impian",Ipoh,Kinta,Perak,30020,Runcit,2020/12/31 00:00:00.000
Farmasi Ara Jaya [Farmasi Ara Jaya],268-G,Jalan Dato Ismail Hashim,Bayan Lepas,Barat Daya,Pulau Pinang,11900,Runcit,2020/12/31 00:00:00.000
Farmasi Arau,16,Jalan Meringgi,Arau,Arau,Perlis,02600,Runcit,2020/12/31 00:00:00.000
FARMASI ARIA SDN BHD,80-D,Jalan Petani,Kuala Terengganu,Kuala Terengganu,Terengganu,20100,Runcit,2020/12/31 00:00:00.000
FARMASI ARIES,6A,Jalan Labrooy,Ipoh,Kinta,Perak,30100,Runcit,2020/12/31 00:00:00.000
Farmasi Arif Medica,13,Taman  Angsana,Pokok Sena,Kota Setar,Kedah,06400,Runcit,2020/12/31 00:00:00.000
FARMASI ARIF MEDICA,"NO 5, TINGKAT BAWAH","TAMAN GUNUNG HIJAU, JLN SG. KOROK, TANDOP",Alor Setar,Kota Setar,Kedah,05400,Runcit,2020/12/31 00:00:00.000
Farmasi Ariv Vision (Bandar Putera 2) Sdn Bhd [Farmasi Ariv],No 15-G,Jalan Kebun Nenas 3B/KS8 Bandar Putera 2,Klang,Klang,Selangor,41200,Runcit,2020/12/31 00:00:00.000
Farmasi Ariv Vision (Telok Pulai) Sdn Bhd,No 202 Lot 437 Tingkat Bawah,Jalan Sungai Bertek Teluk Pulai Commercial Centre,Klang,Klang,Selangor,41100,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi Ariv Vision (Telok) Sdn Bhd [Farmasi Ariv],No 10,"Jalan Temenggong, Taman Desawira",Telok Panglima Garang,Kuala Langat,Selangor,42500,Runcit,2020/12/31 00:00:00.000
Farmasi Ariv Vision Sdn Bhd[Farmasi Ariv],31-33,Jalan Sri Sarawak 17 Taman Sri Andalas,Klang,Klang,Selangor,41200,Runcit,2020/12/31 00:00:00.000
Farmasi As Syifa,"Lot 2011, Rumah kedai",Jalan Pasar,Bandar Baru Jeli,Jeli,Kelantan,17600,Runcit,2020/12/31 00:00:00.000
FARMASI AS SYIFA [FARMASI AS SYIFA],PT9346,Taman Titiwangsa,Bandar Baru Gua Musang,Gua Musang,Kelantan,18300,Runcit,2020/12/31 00:00:00.000
Farmasi Aslam,"NO 15,TINGKAT BAWAH, PUTATAN COURT",Jalan Putatan,Putatan,Putatan,Sabah,88200,Runcit,2020/12/31 00:00:00.000
FARMASI ASLAM,"GROUND FLOOR, LOT 10, BLOCK B, SEDCO SHOPHOUSE",Jalan Teo Teck Ong,Tuaran,Tuaran,Sabah,89200,Runcit,2020/12/31 00:00:00.000
FARMASI ASLAM (SABAH) SDN BHD,"NO 4-0, GROUND FLOOR, LORONG PLAZA KINGFISHER 6, PLAZA KINGFISHER",Jalan SMC,Kota Kinabalu,Kota Kinabalu,Sabah,88450,Runcit,2020/12/31 00:00:00.000
Farmasi Aslam (Sabah) Sdn Bhd [Farmasi Aslam],"No. G7-0-4, Lot 4, Block G, Ground Floor, Taman Indah Permai, Kuala Menggatal",Jalan Sepangar,Kota Kinabalu,Kota Kinabalu,Sabah,88450,Runcit,2020/12/31 00:00:00.000
FARMASI ASLAM (SABAH) SDN BHD [FARMASI ASLAM],"LOT 11, GROUND FLOOR & LEVEL 1, WISMA HPC, LIKAS, PETI SURAT 14311",Jalan Tuaran,Kota Kinabalu,Kota Kinabalu,Sabah,88849,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi Asnaf,2635,Jalan Hashim Awang,Tasek Gelugor,Seberang Perai Utara,Pulau Pinang,13300,Runcit,2020/12/31 00:00:00.000
Farmasi Aspirasi (Pendang) Sdn Bhd,No.165,"Jalan Sukamari Rumah Kedai 2 Tingkat, Mukim Ayer Puteh",Pendang,Pendang,Kedah,06700,Runcit,2020/12/31 00:00:00.000
FARMASI ASSABIL [FARMASI ASSABIL],"No.6, B-G-5, Plaza Beseri, Balai Baru",Jalan Kaki Bukit,Beseri,Padang Besar,Perlis,02400,Runcit,2020/12/31 00:00:00.000
FARMASI ASTARAYA,"No.6 Tingkat Bawah, KOMPLEKS PERNIAGAAN SURIA GURUN",Jalan Raya,Gurun,Kuala Muda,Kedah,08300,Runcit,2020/12/31 00:00:00.000
FARMASI AURORA,"169, Tingkat Bawah",Jalan Kelab Cinta Sayang Taman Ria Jaya,Sungai Petani,Kuala Muda,Kedah,08000,Runcit,2020/12/31 00:00:00.000
Farmasi Awda,"No.31-Bwh,Lebuhraya Bukit Kayu Hitam",PEKAN CHANGLUN 2,Changloon,Kubang Pasu,Kedah,06010,Runcit,2020/12/31 00:00:00.000
Farmasi Azara,"No 222, Lot 152, Lorong Bahagia 1",Jalan Besar,Tanjong Karang,Kuala Selangor,Selangor,45500,Runcit,2020/12/31 00:00:00.000
FARMASI BA NAZEN,"Lot PT 458 & 459, Tingkat Bawah",Jalan Tasek,Tanah Merah,Tanah Merah,Kelantan,17500,Runcit,2020/12/31 00:00:00.000
FARMASI BAGAN (BW) SDN BHD,4845,Jalan Kampung Benggali,Butterworth,Seberang Perai Utara,Pulau Pinang,12200,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI BAGAN SDN BHD,39,"Lebuh Kurau 1, Chai Leng Park",Perai,Seberang Perai Tengah,Pulau Pinang,13700,Runcit,2020/12/31 00:00:00.000
Farmasi Bagan Sdn Bhd,157,"Medan Kikik 1, Taman Inderawasih",Perai,Seberang Perai Tengah,Pulau Pinang,13600,Runcit,2020/12/31 00:00:00.000
FARMASI BAGAN SDN BHD [FARMASI BAGAN SDN BHD],"21,TINGKAT BAWAH","Jalan Tembikai, Taman Mutiara",Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang,14000,Runcit,2020/12/31 00:00:00.000
FARMASI BAHAGIA,"B 22, Ground Floor, Lorong Balok Darat 15",Pusat Perkhidmatan Balok,Balok,Kuantan,Pahang,26100,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI BAIDURI SDN BHD [FARMASI BAIDURI],28-A,Jalan Sultan Mahmud,.,Kuala Terengganu,Terengganu,20400,Runcit,2020/12/31 00:00:00.000
Farmasi Bajrai,48-6,Jalan Sultanah,Batu Pahat,Batu Pahat,Johor,83000,Runcit,2020/12/31 00:00:00.000
FARMASI BANDAR BARU,LOT 733 TINGKAT BAWAH,Jalan Pasir Puteh Sentral 1/6,Bandar Baru Pasir Puteh,Pasir Puteh,Kelantan,16800,Runcit,2020/12/31 00:00:00.000
Farmasi Banting Sdn Bhd,No 170 & 172,Jalan Bunga Pekan,Banting,Kuala Langat,Selangor,42700,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi Banting Sdn Bhd [Farmasi Alpha Wellness],57,Jalan 2/1 Taman Seri Jaromas,Jenjarom,Kuala Langat,Selangor,42600,Runcit,2020/12/31 00:00:00.000
FARMASI BARAKAH,No 30,"Jalan Bistari 1/1, Taman Yayasan",Buloh Kasap,Segamat,Johor,85010,Runcit,2020/12/31 00:00:00.000
Farmasi Batang Kali Sdn Bhd,No. 11 (GF),Jalan Meranti 2B Bandar Utama Batang Kali,Batang Kali,Hulu Selangor,Selangor,44300,Runcit,2020/12/31 00:00:00.000
FARMASI BATU MAUNG SDN BHD [FARMASI EBM],369,Jalan Burma,Georgetown,Timur Laut,Pulau Pinang,10350,Runcit,2020/12/31 00:00:00.000
FARMASI BAU,"Ground Floor, Lot 267, Block A",Jalan Market Bau,Bau,Kuching,Sarawak,94000,Runcit,2020/12/31 00:00:00.000
FARMASI BAYAN SDN BHD [FARMASI BAYAN],484-B,Jalan Bayan Lepas,Bayan Lepas,Barat Daya,Pulau Pinang,11900,Runcit,2020/12/31 00:00:00.000
FARMASI BAYU,"NO G-8, ","Bangunan Majlis Daerah Baling, Pekan Baru",Baling,Baling,Kedah,09100,Runcit,2020/12/31 00:00:00.000
FARMASI BEDONG,593 Ground Floor,Jalan Raya,Bedong,Kuala Muda,Kedah,08100,Runcit,2020/12/31 00:00:00.000
FARMASI BENTONG SDN BHD [FARMASI BENTONG],No 82,Jalan Ah Peng,Bentong,Bentong,Pahang,28700,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI BERCHAM,NO.12,"Persiaran Bercham Selatan 8, Taman Desa Kencana",Ipoh,Kinta,Perak,31400,Runcit,2020/12/31 00:00:00.000
FARMASI BERCHAM RAYA,NO 41,"Dataran Perpaduan 1, Taman Bercham Raya,",Ulu Kinta,Kinta,Perak,31150,Runcit,2020/12/31 00:00:00.000
Farmasi Berseri,No.106,"Jalan Segamat, Taman Asia Timur",Labis,Segamat,Johor,85300,Runcit,2020/12/31 00:00:00.000
Farmasi Bertam,"No. 35, TINGKAT BAWAH","Lorong Blm 6/2, Bandar Laguna Merbok",Sungai Petani,Kuala Muda,Kedah,08000,Runcit,2020/12/31 00:00:00.000
Farmasi Bertam [Farmasi],No. 1359,"Jalan Serai Wangi 13/6, Taman Serai Wangi 2",Padang Serai,Kulim,Kedah,09400,Runcit,2020/12/31 00:00:00.000
FARMASI BERTAM [FARMASI],NO.3,"Lorong Bertam Indah 1, Taman Bertam Indah",Kepala Batas,Seberang Perai Utara,Pulau Pinang,13200,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI BERUAS SDN.BHD [FARMASI ZAMAN],NO 6,Jalan Besar Bruas,Beruas,Manjung,Perak,32700,Runcit,2020/12/31 00:00:00.000
Farmasi Bestari [Farmasi Bestari],K-110,Sura Gate,Dungun,Dungun,Terengganu,23000,Runcit,2020/12/31 00:00:00.000
FARMASI BINJAI RENDAH SDN BHD [FARMASI GPHARMAX BINJAI RENDAH ],PT 8915,Taman Mewah,Binjai Rendah,Marang,Terengganu,21600,Runcit,2020/12/31 00:00:00.000
Farmasi Bintang,151,"Jalan Segamat, Taman Labis",Labis,Segamat,Johor,85300,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI BORNEOCARE SDN BHD [TRUE LABEL PHARMACY],"D-G-02, Miri Times Square",Marina Parkcity,Miri,Miri,Sarawak,98000,Runcit,2020/12/31 00:00:00.000
FARMASI BPJ [FARMASI TR],NO.133,"Jalan Bpj 1/2, Bandar Puteri Jaya 1/2",Sungai Petani,Kuala Muda,Kedah,08000,Runcit,2020/12/31 00:00:00.000
Farmasi Britain Sdn Bhd,"413 & 415, Tingkat Bawah",Jalan Tuanku Abdul Rahman,Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50100,Runcit,2020/12/31 00:00:00.000
Farmasi BS Pelangi [Farmasi BS Pelangi],LOT 3865,"Kampung Charok Tualang, Pekan Batu Lima, Jalan Sik",Sik,Sik,Kedah,08200,Runcit,2020/12/31 00:00:00.000
Farmasi Budaya Sdn. Bhd.,No. 11,"Jalan Budaya, Taman Budaya",Batu Pahat,Batu Pahat,Johor,83000,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi C S (Station 18) Sdn Bhd,No.50-52,"Jalan Pengkalan Barat 32, Taman Pengkalan Jaya",Ipoh,Kinta,Perak,31650,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi C S Sdn Bhd,20,"Jalan Tawas Baru 1,Taman Tasek Damai",Ipoh,Kinta,Perak,30010,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi Cahaya Timur [FARMASI CAHAYA TIMUR],PT2909 TKT BAWAH,Taman SBJ Putra Pasir Pekan,Wakaf Bharu,Tumpat,Kelantan,16250,Runcit,2020/12/31 00:00:00.000
Farmasi Carrie Sdn. Bhd.,No. 16 & 16A,"Jalan Flora Utama 2, Taman Flora Utama",Batu Pahat,Batu Pahat,Johor,83000,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI CEMARA,NO 66,"Jalan Cemara 1, Taman Cemara",Sungai Petani,Kuala Muda,Kedah,08000,Runcit,2020/12/31 00:00:00.000
FARMASI CEMERLANG,No. 349-O,Jalan Temenggong,Kota Bharu,Kota Bharu,Kelantan,15000,Runcit,2020/12/31 00:00:00.000
FARMASI CENDERAWASIH SDN BHD [FARMASI CENDERAWASIH],"A-59, Ground Floor",Pusat Komersial Batu 3,Kuantan,Kuantan,Pahang,25150,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI CENTER POINT,"Sublot 1290, Lot 1230, Block 10, Miri Centerpoint, MCLD",Jalan Melayu,Miri,Miri,Sarawak,98000,Runcit,2020/12/31 00:00:00.000
Farmasi Ceria [Farmasi Ceria],no 14,"Jalan Lada 12, Taman  Simpang Jaya",Simpang Empat,Kota Setar,Kedah,06650,Runcit,2020/12/31 00:00:00.000
FARMASI CHABANG TIGA SDN BHB [FARMASI GPHARMAX DURIAN BURUNG],Lot 2205-A,Kampung Bukit Kubang Jambu,Kubang Parit,Kuala Terengganu,Terengganu,20050,Runcit,2020/12/31 00:00:00.000
Farmasi Chabang Tiga Sdn. Bhd.,Lot 12 & 13 Depan Pasar Cabang Tiga,Jalan Cabang Tiga,Cabang Tiga,Kuala Terengganu,Terengganu,21000,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI CHANGKAT JERING SDN BHD,No.11,"Jalan Changkat 1,",Changkat Jering,"Larut, Matang & Selama",Perak,34850,Runcit,2020/12/31 00:00:00.000
FARMASI CHENDERING,"Lot 2731, Tingkat Bawah Rumah Kedai",Permint Jaya,Chendering,Kuala Terengganu,Terengganu,21080,Runcit,2020/12/31 00:00:00.000
Farmasi Chi Liung,No 97,Jalan Batu Unjur Taman Chi Liung,Pelabuhan Klang,Klang,Selangor,42000,Runcit,2020/12/31 00:00:00.000
FARMASI CHING,"PT 7748, Taman Mesra",Jalan Persiaran Raya,Gua Musang,Gua Musang,Kelantan,18300,Runcit,2020/12/31 00:00:00.000
FARMASI CITY CARE SDN BHD,no.60,Jalan Lembah Permai 4,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang,14000,Runcit,2020/12/31 00:00:00.000
FARMASI CITY CARE SDN. BHD. [FARMASI MEDIPRO],"NO. 7,9,11-G","Lorong Usahaniaga 4, Taman Usahaniaga",Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang,14000,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi CKA [Farmasi CKA],"No. MDB6B, KEDAI 2 TINGKAT (BLOK B)",Perkedaian Pasar Kuala Besut,Kuala Besut,Besut,Terengganu,22300,Runcit,2020/12/31 00:00:00.000
Farmasi Country Homes,27,Jalan Desa 1/1 Bandar Country Homes,Rawang,Gombak,Selangor,48000,Runcit,2020/12/31 00:00:00.000
Farmasi D Care FN [Farmasi D’ Care FN],PT 2506 Tkt Bawah Kota Kenangan,Jalan Hospital/ Jalan Abdul Kadir Adabi,Kota Bharu,Kota Bharu,Kelantan,15200,Runcit,2020/12/31 00:00:00.000
Farmasi D Faamosaa,"17, ARAS BAWAH",Perdagangan Serom,Ledang,Tangkak,Johor,84400,Runcit,2020/12/31 00:00:00.000
FARMASI D KUALA,KS 1082,"Jalan KJ 3, Taman Kuala Jaya",Kuala Sg Baru,Alor Gajah,Melaka,78200,Runcit,2020/12/31 00:00:00.000
FARMASI DAMA SDN BHD,"AG 8559, Wisma Haji Sulong Siban",Jalan Besar,Masjid Tanah,Alor Gajah,Melaka,78300,Runcit,2020/12/31 00:00:00.000
FARMASI DAMAI,"B-20, Ground Floor","Jalan Kampung Padang 3, Jalan Sg Lembing",Kuantan,Kuantan,Pahang,25200,Runcit,2020/12/31 00:00:00.000
Farmasi Damai Kajang [Farmasi Damai],31,Jalan Bukit Mewah 11 Taman Bukit Mewah,Kajang,Hulu Langat,Selangor,43000,Runcit,2020/12/31 00:00:00.000
FARMASI DAMAI SDN BHD [FARMASI DAMAI SDN BHD],No. 1955,Jalan Dato Pati,Kota Bharu,Kota Bharu,Kelantan,15000,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi Damar Laut [Farmasi Damar Laut],20H,"Desa Jelita, Jalan Permatang Damar Laut",Bayan Lepas,Barat Daya,Pulau Pinang,11960,Runcit,2020/12/31 00:00:00.000
FARMASI DARUL IMAN,Lot 4819-B Bangunan Kedai Taman Che Ngah,",",Ajil,Hulu Terengganu,Terengganu,21800,Runcit,2020/12/31 00:00:00.000
Farmasi DE JS Sdn. Bhd.,102-2,Jalan Sultanah,Batu Pahat,Batu Pahat,Johor,83000,Runcit,2020/12/31 00:00:00.000
Farmasi De Juma,"Lot 58, Kampung Bukit Bunga, Depan Masjid Bukit Bunga,",Jalan Tanah Merah - Jeli,Bukit Bunga,Tanah Merah,Kelantan,17500,Runcit,2020/12/31 00:00:00.000
FARMASI DE PARIT,NO 4A,"Jalan Dua, Taman Parit Wira",Parit,Perak Tengah,Perak,32800,Runcit,2020/12/31 00:00:00.000
FARMASI DELIMA,"No. A1, Rumah Kedai Wakaf Bharu",Jalan Pasar Wakaf Baharu,Wakaf Bharu,Tumpat,Kelantan,16250,Runcit,2020/12/31 00:00:00.000
FARMASI DERGA,"LOT 3166, KM 3",Jalan Datok Kumbar,Alor Setar,Kota Setar,Kedah,05300,Runcit,2020/12/31 00:00:00.000
Farmasi Desa,"PT 484 Tingkat Bawah, Kampung Geting (Neting)",Kampung Pengkalan Kubur,Tumpat,Tumpat,Kelantan,16080,Runcit,2020/12/31 00:00:00.000
Farmasi Desa Prihatin Sdn Bhd,No 35,Jalan Wira 2 Taman Perwira,Telok Panglima Garang,Kuala Langat,Selangor,42500,Runcit,2020/12/31 00:00:00.000
Farmasi Dinamik,No 164,Jalan Bunga Pekan,Banting,Kuala Langat,Selangor,42700,Runcit,2020/12/31 00:00:00.000
Farmasi Dsafia,SH 64,Jalan Besar,Pekan Nenas,Pontian,Johor,81500,Runcit,2020/12/31 00:00:00.000
Farmasi Dunia Sihat Sdn. Bhd.,32,Lorong Ismail,Kulai,Kulai,Johor,81000,Runcit,2020/12/31 00:00:00.000
FARMASI DURIAN TUNGGAL,DT 966,Pekan Durian Tunggal,Durian Tunggal,Alor Gajah,Melaka,76100,Runcit,2020/12/31 00:00:00.000
FARMASI DUYONG SDN BHD,JB 9079 (Tkt Bwh),"Jalan Serkam Ria 1, Kawasan Kedai Taman Serkam Ria, Taman Serkam Ria",Merlimau,Jasin,Melaka,77300,Runcit,2020/12/31 00:00:00.000
Farmasi Duyong Sdn. Bhd.,No. 38 & 40,"Jalan Sri Duyong 2/1, Taman Sri Duyong 2",Melaka,Melaka Tengah,Melaka,75460,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI DUYONG SDN. BHD. [FARMASI TUAH],1121,"Jalan Besar, Gemencheh Baru",Gemencheh,Tampin,Negeri Sembilan,73200,Runcit,2020/12/31 00:00:00.000
Farmasi Eckerd,28-0,Lorong Batu Nilam 3A Bandar Bukit Tinggi,Klang,Klang,Selangor,41200,Runcit,2020/12/31 00:00:00.000
Farmasi Eco Cahaya Sdn Bhd,55,"Jalan Putra 2/23, Bandar Putra",Segamat,Segamat,Johor,85000,Runcit,2020/12/31 00:00:00.000
Farmasi Eco Cahaya Sdn. Bhd.,No. 25-A,Jalan Aji,Segamat,Segamat,Johor,85000,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI ECON (S.P) SDN BHD,6,JALAN PENGKALAN,Sungai Petani,Kuala Muda,Kedah,08000,Runcit,2020/12/31 00:00:00.000
Farmasi Ehsan Jerteh Sdn Bhd,No 235,Jalan Haji Jusoh,Jerteh,Besut,Terengganu,22000,Runcit,2020/12/31 00:00:00.000
FARMASI EHSAN KOK LANAS [FARMASI EHSAN],"PT 5049, Tingkat Bawah Kompleks Saidina Ali",Jalan Kuala Krai,Kok Lanas,Kota Bharu,Kelantan,16450,Runcit,2020/12/31 00:00:00.000
FARMASI EHSAN KUALA KRAI [FARMASI EHSAN],"PT 4386, Tingkat Bawah",Taman Guchil Jaya,Kuala Krai,Kuala Krai,Kelantan,18000,Runcit,2020/12/31 00:00:00.000
FARMASI EHSAN LUBOK JONG,"PT 8673, Tingkat Bawah",Kampung Lubok Jong,LUBOK JONG,Pasir Mas,Kelantan,17070,Runcit,2020/12/31 00:00:00.000
FARMASI EHSAN MACHANG SDN. BHD.,"PT(B)32, Bangunan LUTH",Jalan Tanjung,Machang,Machang,Kelantan,18500,Runcit,2020/12/31 00:00:00.000
Farmasi Ehsan Marketing [FARMASI BERKAT MAJU],"PT 1233, Taman Bendahara",Pengkalan Chepa,Pengkalan Chepa,Kota Bharu,Kelantan,16100,Runcit,2020/12/31 00:00:00.000
FARMASI EHSAN PC [Farmasi Ehsan],"No. F7 PT 1091, Taman Bendahara",Pengkalan Chepa,Pengkalan Chepa,Kota Bharu,Kelantan,16100,Runcit,2020/12/31 00:00:00.000
FARMASI EHSAN SDN. BHD.,"Lot 127, Seksyen 1",Jalan Kota Bharu,Pasir Puteh,Pasir Puteh,Kelantan,16800,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI EHSAN SETIU,"No 4, Tingkat Bawah Bangunan MDS",.,Bandar Permaisuri,Setiu,Terengganu,22100,Runcit,2020/12/31 00:00:00.000
FARMASI EHSAN TANAH MERAH,"Lot 3246, Tingkat Bawah",Jalan Jedok,Tanah Merah,Tanah Merah,Kelantan,17500,Runcit,2020/12/31 00:00:00.000
FARMASI EHSAN TUMPAT [FARMASI EHSAN],PT 3870,Jalan Setia 5,Bandar Bentara Tumpat,Tumpat,Kelantan,16200,Runcit,2020/12/31 00:00:00.000
FARMASI EHSAN WAKAF BHARU SDN. BHD.,"No B-18, Lot PT 171, Rumah Kedai Wakaf Baharu",Jalan Pasar Wakaf Baharu,Wakaf Bharu,Tumpat,Kelantan,16250,Runcit,2020/12/31 00:00:00.000
Farmasi Eng Ann,No 9,Lorong Kasawari 4 Taman Eng Ann,Klang,Klang,Selangor,41150,Runcit,2020/12/31 00:00:00.000
FARMASI EPAL JAYA SDN BHD,No.23,Jalan Kangsar,Kuala Kangsar,Kuala Kangsar,Perak,33000,Runcit,2020/12/31 00:00:00.000
FARMASI ERA ZAMAN SDN BHD [FARMASI ERA ZAMAN SDN BHD],1199,Pekan Penaga,Penaga,Seberang Perai Utara,Pulau Pinang,13100,Runcit,2020/12/31 00:00:00.000
Farmasi EU,10,"Jalan Sawit, Taman Sawit",Kelapa Sawit,Kulai,Johor,81030,Runcit,2020/12/31 00:00:00.000
FARMASI EVERLIFE,"16, Taman Kucai",Jalan Paya Besar,Lunas,Kulim,Kedah,09600,Runcit,2020/12/31 00:00:00.000
FARMASI EXCARE [FARMASI EXCARE],137,Jalan Padang Kelab,Kepala Batas,Seberang Perai Utara,Pulau Pinang,13200,Runcit,2020/12/31 00:00:00.000
Farmasi Excel,45-1,Jalan Cecawi PSB 6/19A Seksyen 6 Kota Damansara,Petaling Jaya,Petaling,Selangor,47810,Runcit,2020/12/31 00:00:00.000
FARMASI FAJR [FARMASI FAJR MARANG],LOT 9650 (C268 A&B),Kampung Rhu Rendang,Marang,Marang,Terengganu,21600,Runcit,2020/12/31 00:00:00.000
FARMASI FAJR SDN. BHD,"PT13433-K, Taman Permint Makmur",Wakaf Tembesu,Gong Badak,Kuala Terengganu,Terengganu,21300,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi Familycare Sdn. Bhd.,No.17,"Jalan Pulai Perdana 11, Taman Sri Pulai Perdana",Kangkar Pulai,Johor Bahru,Johor,81110,Runcit,2020/12/31 00:00:00.000
Farmasi Fareehan [FARMASI FAREEHAN],"7999, Tingkat Bawah",Bandar Satelit Islam,Pasir Tumboh,Kota Bharu,Kelantan,16150,Runcit,2020/12/31 00:00:00.000
Farmasi Fayyadh,65-G,Jalan TPS 1/6 Taman Pelangi Semenyih,Semenyih,Hulu Langat,Selangor,43500,Runcit,2020/12/31 00:00:00.000
FARMASI FH,"No.14, Jalan Pasir Bogak,",Taman Desa Pangkor,Pulau Pangkor,Manjung,Perak,32300,Runcit,2020/12/31 00:00:00.000
FARMASI FISHA [FARMASI FISHA],"PT 585 , Tingkat Bawah, Simpang Empat Binjai",Jalan Sultan Omar,Kota Bharu,Kota Bharu,Kelantan,16150,Runcit,2020/12/31 00:00:00.000
FARMASI FITRAH [FARMASI FITRAH],"NO 22,TINGKAT BAWAH","Jalan Wang Tepus, Taman  Mahsuri, Bdr Darulaman",Jitra,Kubang Pasu,Kedah,06000,Runcit,2020/12/31 00:00:00.000
FARMASI FMB SDN BHD [FARMASI MENGLEMBU BARU],55 & 57,"Persiaran Kledang Timur 21, Bandar Baru Menglembu",Ipoh,Kinta,Perak,31450,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi Gamma Sdn. Bhd.,"No.745, Tingkat Bawah, Wisma Koperasi",Jalan Taib,Pontian,Pontian,Johor,82000,Runcit,2020/12/31 00:00:00.000
Farmasi Gedung,Blk 1-01-28A,"Persiaran Mayang Pasir 2, Bayan Baru",Bayan Lepas,Barat Daya,Pulau Pinang,11950,Runcit,2020/12/31 00:00:00.000
FARMASI GEMAS SDN. BHD.,NO 37,Jalan Besar,Gemas,Tampin,Negeri Sembilan,73400,Runcit,2020/12/31 00:00:00.000
FARMASI GEMILANG,"No 60,","Jalan Orkid 1, Taman Paya Rumput Perdana,",Paya Rumput,Melaka Tengah,Melaka,76450,Runcit,2020/12/31 00:00:00.000
Farmasi Goh Sdn Bhd [Farmasi Alpha.com],No 19,Jalan Merak 2A Bandar Puchong Jaya,Puchong,Petaling,Selangor,47100,Runcit,2020/12/31 00:00:00.000
FARMASI GOLDEN PILLS,No 50,Jalan Mahligai,Bahau,Jempol,Negeri Sembilan,72100,Runcit,2020/12/31 00:00:00.000
Farmasi Goodmedic (Bkt. Mewah) Sdn Bhd,3,Jalan Bukit Mewah 11 Taman Bukit Mewah,Kajang,Hulu Langat,Selangor,43000,Runcit,2020/12/31 00:00:00.000
Farmasi Goodmedic (KL) Sdn Bhd [Farmasi Goodmedic],359-G,"Jalan Selesa, Taman Gembira",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,58200,Runcit,2020/12/31 00:00:00.000
Farmasi Goodmedic (Midah) Sdn. Bhd. [Farmasi Goodmedic],36 Tingkat Bawah,"Jalan Midah Besar, Taman Midah, Cheras",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,56000,Runcit,2020/12/31 00:00:00.000
Farmasi Goodmedic Sdn Bhd,G Floor of 14G,Jalan Kajang Indah Taman Kajang Indah Sungai Chua,Kajang,Hulu Langat,Selangor,43000,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi Gpharma (Rhu Muda) Sdn Bhd [Farmasi Gpharmax Rhu Muda],Lot 110 z2-z5,Kampung Rhu Muda,Marang,Marang,Terengganu,21600,Runcit,2020/12/31 00:00:00.000
Farmasi Greenland Sdn Bhd,No. 15,Jalan Bandar Rawang 5 Pusat Bandar Rawang,Rawang,Gombak,Selangor,48000,Runcit,2020/12/31 00:00:00.000
FARMASI GT [FARMASI GT],PT 624-A (Kedai) Kota Jembal,Tawang,Bachok,Bachok,Kelantan,16300,Runcit,2020/12/31 00:00:00.000
Farmasi Guar Perahu [Farmasi Guar Perahu],no.15,"Jalan Guar Perahu Indah, Taman Guar Perahu Indah",Kubang Semang,Seberang Perai Tengah,Pulau Pinang,14400,Runcit,2020/12/31 00:00:00.000
