MAL19990755TC       ,CHUANBEI WAN (ROUND PILL),NATURAL PRODUCT,00:00.0,00:00.0,47:41.0,VIEN KHENG TRADING,YONGTIN MEDICAL TRADING
MAL19990751TC       ,DU TONG SAN,NATURAL PRODUCT,00:00.0,00:00.0,48:02.0,VIEN KHENG TRADING,YONGTIN MEDICAL TRADING
MAL19990767TC       ,CHIN CHOO FU PAK POH YING TAN 3G,NATURAL PRODUCT,00:00.0,00:00.0,48:24.0,VIEN KHENG TRADING,YONGTIN MEDICAL TRADING
MAL12125007TC,STYLIZE,NATURAL PRODUCT,00:00.0,00:00.0,48:47.0,Perfect Nutrients Sdn Bhd,BIOALPHA INTERNATIONAL SDN BHD
MAL08051636T,TIAN NIAO TAN,NATURAL PRODUCT,00:00.0,00:00.0,50:19.0,SONG SUN HERBAL PRODUCT SDN BHD,SONG SUN HERBAL PRODUCT SDN BHD
MAL08051635T    ,MING CHU TAN,NATURAL PRODUCT,00:00.0,00:00.0,50:39.0,SONG SUN HERBAL PRODUCT SDN BHD,SONG SUN HERBAL PRODUCT SDN BHD
MAL08051634T    ,NEI XIAO TAN,NATURAL PRODUCT,00:00.0,00:00.0,51:19.0,SONG SUN HERBAL PRODUCT SDN BHD,SONG SUN HERBAL PRODUCT SDN BHD
MAL08051637T,FU ZEN TAN,NATURAL PRODUCT,00:00.0,00:00.0,52:27.0,SONG SUN HERBAL PRODUCT SDN BHD,SONG SUN HERBAL PRODUCT SDN BHD
MAL19950945T,MINYAK WARISAN AFIAT 55ML,NATURAL PRODUCT,00:00.0,00:00.0,34:10.0,HERBA WARISAN AFIAT SDN BHD,HERBA WARISAN AFIAT SDN BHD
MAL19984622T,AIR JAMU KUKUS WARISAN AFIAT,NATURAL PRODUCT,00:00.0,00:00.0,34:35.0,HERBA WARISAN AFIAT SDN BHD,HERBA WARISAN AFIAT SDN BHD
MAL19985476T,AIR MUPARAM WARISAN AFIAT,NATURAL PRODUCT,00:00.0,00:00.0,34:53.0,HERBA WARISAN AFIAT SDN BHD,HERBA WARISAN AFIAT SDN BHD
MAL19984623T,PATI BALM WARISAN AFIAT,NATURAL PRODUCT,00:00.0,00:00.0,35:13.0,HERBA WARISAN AFIAT SDN BHD,HERBA WARISAN AFIAT SDN BHD
MAL20040053T,SS LOOK,NATURAL PRODUCT,00:00.0,00:00.0,35:47.0,SAGA RAYA NATURAL HERBAL SDN BHD,SAGA RAYA NATURAL HERBAL SDN BHD
MAL20040052T,EASTERN YIN XIONG,NATURAL PRODUCT,00:00.0,00:00.0,36:06.0,SAGA RAYA NATURAL HERBAL SDN BHD,SAGA RAYA NATURAL HERBAL SDN BHD
MAL20040301T,PRO-KEY,NATURAL PRODUCT,00:00.0,00:00.0,36:40.0,SAGA RAYA NATURAL HERBAL SDN BHD,SAGA RAYA NATURAL HERBAL SDN BHD
MAL20040007T,MICRO TRON,NATURAL PRODUCT,00:00.0,00:00.0,12:43.0,SAGA RAYA NATURAL HERBAL SDN BHD,SAGA RAYA NATURAL HERBAL SDN BHD
MAL20040284T,TAZAI PAK FONG,NATURAL PRODUCT,00:00.0,00:00.0,14:32.0,SAGA RAYA NATURAL HERBAL SDN BHD,SAGA RAYA NATURAL HERBAL SDN BHD
MAL20040285T,TONGER,NATURAL PRODUCT,00:00.0,00:00.0,14:53.0,SAGA RAYA NATURAL HERBAL SDN BHD,SAGA RAYA NATURAL HERBAL SDN BHD
MAL20040283T,GOLDEN PAK FONG,NATURAL PRODUCT,00:00.0,00:00.0,15:20.0,SAGA RAYA NATURAL HERBAL SDN BHD,SAGA RAYA NATURAL HERBAL SDN BHD
MAL20040286T,Traditional Lady Gold,NATURAL PRODUCT,00:00.0,00:00.0,15:36.0,SAGA RAYA NATURAL HERBAL SDN BHD,SAGA RAYA NATURAL HERBAL SDN BHD
MAL20033817T        ,ANGELICARE (WOMEN`S FORMULA),NATURAL PRODUCT,00:00.0,00:00.0,15:51.0,SAGA RAYA NATURAL HERBAL SDN BHD,SAGA RAYA NATURAL HERBAL SDN BHD
MAL20033816T        ,YAN YIN POH,NATURAL PRODUCT,00:00.0,00:00.0,16:12.0,SAGA RAYA NATURAL HERBAL SDN BHD,SAGA RAYA NATURAL HERBAL SDN BHD
MAL20033818T,GOLDEN LADY,NATURAL PRODUCT,00:00.0,00:00.0,16:32.0,SAGA RAYA NATURAL HERBAL SDN BHD,SAGA RAYA NATURAL HERBAL SDN BHD
MAL20034104T        ,DAICODAL CAPSULE,NATURAL PRODUCT,00:00.0,00:00.0,16:48.0,SAGA RAYA NATURAL HERBAL SDN BHD,SAGA RAYA NATURAL HERBAL SDN BHD
MAL20033819T        ,PINK LADY,NATURAL PRODUCT,00:00.0,00:00.0,17:04.0,SAGA RAYA NATURAL HERBAL SDN BHD,SAGA RAYA NATURAL HERBAL SDN BHD
MAL14025005ACZ,Abstral 400 microgram sublingual tablets,NEW CHEMICAL ENTITY,00:00.0,00:00.0,11:18.0,A. MENARINI SINGAPORE PTE. LTD.,Recipharm Stockholm AB
MAL14025003ACZ,Abstral 100 microgram sublingual tablets,NEW CHEMICAL ENTITY,00:00.0,00:00.0,14:24.0,A. MENARINI SINGAPORE PTE. LTD.,Recipharm Stockholm AB
MAL14025004ACZ,Abstral 200 microgram sublingual tablets,NEW CHEMICAL ENTITY,00:00.0,00:00.0,17:13.0,A. MENARINI SINGAPORE PTE. LTD.,Recipharm Stockholm AB
MAL20162633TE,Ho Yan Hor Everyday Balancing Herbal Tea,NATURAL PRODUCT,00:00.0,00:00.0,17:59.0,HOVID BERHAD,HOVID BERHAD
MAL20033422TC       ,TRADITIONAL JUN GING POWDER,NATURAL PRODUCT,00:00.0,00:00.0,24:01.0,GMP PRODUCTS MARKETING SDN. BHD.,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.
MAL05051137T    ,BAN KAH CHAI JIN KIAN WAN,NATURAL PRODUCT,00:00.0,00:00.0,31:27.0,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.
MAL19991612T        ,BAN KAH CHAI GOLD BRAND CHIN CHING SAN,NATURAL PRODUCT,00:00.0,00:00.0,37:42.0,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.
MAL05092420TC,TRADITIONAL JUN GING PILLS,NATURAL PRODUCT,00:00.0,00:00.0,43:21.0,GMP PRODUCTS MARKETING SDN. BHD.,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.
MAL19973179T        ,FOREVER ROYAL JELLY (TABLET),NATURAL PRODUCT,00:00.0,00:00.0,52:09.0,FOREVER LIVING PRODUCTS (M) SDN. BHD.,"ALOE VERA OF AMERICA, INC."
MAL06041508TCR  ,BLACKMORES GRAPE SEED FORTE 12000 TABLET,NATURAL PRODUCT,00:00.0,00:00.0,56:42.0,BLACKMORES (MALAYSIA) SDN. BHD.,LIPA PHARM PTY LTD
MAL05092306TC ,Sensaoi,NATURAL PRODUCT,00:00.0,00:00.0,12:01.0,Lovelure Holdings Sdn. Bhd,ART SOULIST HOLDINGS SDN. BHD.
MAL06021298TC   ,Dragon Ginseng Ginseng Powder,NATURAL PRODUCT,00:00.0,00:00.0,25:30.0,DRAGON GINSENG ENTERPRISE SDN BHD,SIANG PENG PHARMACEUTICAL SDN. BHD.
MAL20152514XE,Tiger Balm Lotion,NON PRESCRIPTION,00:00.0,00:00.0,57:20.0,TIGER BALM (M) SDN BHD,TIGER BALM (M) SDN BHD
MAL13015058NC,APPETON Essentials Multi-Vit plus,HEALTH SUPPLEMENT,00:00.0,00:00.0,05:26.0,KOTRA PHARMA (M) SDN. BHD.,PT. Bintang Toedjoe
MAL08031364X,Appeton Multivitamin Lysine Syrup,HEALTH SUPPLEMENT,00:00.0,00:00.0,13:28.0,KOTRA PHARMA (M) SDN. BHD.,KOTRA PHARMA (M) SDN. BHD.
MAL15045048N,BON Probiokidz Powder (Vanilla Flavor),HEALTH SUPPLEMENT,00:00.0,00:00.0,21:04.0,UNISON NUTRACEUTICALS SDN. BHD.,UNISON NUTRACEUTICALS SDN. BHD.
MAL20162644TCE,Avoca Capsule,NATURAL PRODUCT,00:00.0,00:00.0,34:49.0,HERBAL HOME SDN. BHD.,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.
MAL20142418TE,LEUNG PUI KEE COUGH PILLS,NATURAL PRODUCT,00:00.0,00:00.0,37:49.0,WTH PHARMACEUTICAL SDN BHD,WTH PHARMACEUTICAL SDN BHD
MAL20162544TE,EDMARK SPLINA LIQUID CHLOROPHYLL DRINK 120MG,NATURAL PRODUCT,00:00.0,00:00.0,42:35.0,EDMARK INDUSTRIES SDN BHD,EDMARK INDUSTRIES SDN BHD
MAL13115083T,BIODEX Noni Chewable Tablet 100mg (Grape Flavour),NATURAL PRODUCT,00:00.0,00:00.0,34:10.0,THOYYIB PHARMA INDUSTRIES (M) SDN. BHD.,THOYYIB PHARMA INDUSTRIES (M) SDN. BHD.
MAL13115145T,THOYYIB MEN CAPSULE 300mg,NATURAL PRODUCT,00:00.0,00:00.0,34:38.0,THOYYIB PHARMA INDUSTRIES (M) SDN. BHD.,THOYYIB PHARMA INDUSTRIES (M) SDN. BHD.
MAL08111818T,Men Vitality Tablet 250mg,NATURAL PRODUCT,00:00.0,00:00.0,35:10.0,THOYYIB PHARMA INDUSTRIES (M) SDN. BHD.,THOYYIB PHARMA INDUSTRIES (M) SDN. BHD.
MAL08111833T,Saw Palmetto Extract Plus Capsule,NATURAL PRODUCT,00:00.0,00:00.0,35:33.0,THOYYIB PHARMA INDUSTRIES (M) SDN. BHD.,THOYYIB PHARMA INDUSTRIES (M) SDN. BHD.
MAL08101468T,Spirulina Capsule 500mg,NATURAL PRODUCT,00:00.0,00:00.0,35:58.0,THOYYIB PHARMA INDUSTRIES (M) SDN. BHD.,THOYYIB PHARMA INDUSTRIES (M) SDN. BHD.
MAL09082830T,Ginseng Plus Capsule,NATURAL PRODUCT,00:00.0,00:00.0,36:18.0,THOYYIB PHARMA INDUSTRIES (M) SDN. BHD.,THOYYIB PHARMA INDUSTRIES (M) SDN. BHD.
MAL09082584T,Tongkat Ali Extract Capsule,NATURAL PRODUCT,00:00.0,00:00.0,36:39.0,THOYYIB PHARMA INDUSTRIES (M) SDN. BHD.,THOYYIB PHARMA INDUSTRIES (M) SDN. BHD.
MAL19912825X        ,WINLAXIT ENEMA,NON PRESCRIPTION,00:00.0,00:00.0,06:57.0,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.
MAL15045114NC,LifeSense Flora Biotic Capsule,HEALTH SUPPLEMENT,00:00.0,00:00.0,13:51.0,HL PHARMACEUTICALS SDN. BHD.,HERBAL SCIENCE SDN. BHD.
MAL20152459NCE,Cera-5,HEALTH SUPPLEMENT,00:00.0,00:00.0,20:12.0,Capetown Wonder Sdn. Bhd.,WHITE HERON PHARMACEUTICAL SDN. BHD.
MAL16025003NZ,PP Vitamin C 500mg Tablet,HEALTH SUPPLEMENT,00:00.0,00:00.0,23:15.0,PAHANG PHARMACY SDN. BHD.,PAHANG PHARMACY SDN. BHD.
MAL20040073TS,NOCO,NATURAL PRODUCT,00:00.0,00:00.0,32:54.0,EXTRA EXCEL (MALAYSIA) SDN. BHD.,Extra Excellence Manufacturing (S) Pte. Ltd.
MAL14075050T,EVERNEW ORANGE POWDER PLUS,NATURAL PRODUCT,00:00.0,00:00.0,42:35.0,EXTRA EXCEL (MALAYSIA) SDN. BHD.,EXTRA EXCELLENCE MANUFACTURING (S) PTE.LTD.
MAL07050897TC   ,Natural Life Propolis 500 mg,NATURAL PRODUCT,00:00.0,00:00.0,19:10.0,ONI Global (Malaysia) Sdn Bhd,SPHERE HEALTHCARE PTY LTD
MAL20162677TCE,NuFinity Tongkat Ali 50mg Capsule,NATURAL PRODUCT,00:00.0,00:00.0,26:18.0,Apex Biocare Sdn Bhd,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL19911249XZ,AEKNIL TABLETS,NON PRESCRIPTION,00:00.0,00:00.0,13:59.0,JKS ADMIRAL RESOURCES,THERAPEUTIC PHARM
MAL19940430AZ,DICLOSIAN ENTERIC COATED TABLET 25MG,PRESCRIPTION,00:00.0,00:00.0,15:21.0,MILRIN PHARMACEUTICAL CO. (M) SDN BHD,ASIAN PHARM LTD PART
MAL19940429AZ,DICLOSIAN ENTERIC COATED TABLET 50MG,PRESCRIPTION,00:00.0,00:00.0,15:45.0,MILRIN PHARMACEUTICAL CO. (M) SDN BHD,ASIAN PHARM LTD PART
MAL08051615TC   ,BioXlim Capsule 450mg,NATURAL PRODUCT,00:00.0,00:00.0,16:43.0,Herbal Zone International Sdn. Bhd.,POLENS (M) SDN. BHD.
MAL08051616TC   ,Glucinn Capsule 350mg,NATURAL PRODUCT,00:00.0,00:00.0,17:29.0,Herbal Zone International Sdn. Bhd.,POLENS (M) SDN. BHD.
MAL08042264TC   ,OB Herbal Liquid 60ml,NATURAL PRODUCT,00:00.0,00:00.0,18:05.0,Herbal Zone International Sdn. Bhd.,POLENS (M) SDN. BHD.
MAL20102059XEZ,UniRINS CG,NON PRESCRIPTION,00:00.0,00:00.0,21:07.0,AIN MEDICARE SDN. BHD.,AIN MEDICARE SDN. BHD.
MAL17035003NC,PP CALMAG-D Tablet,HEALTH SUPPLEMENT,00:00.0,00:00.0,30:35.0,PURE NUTRITIONAL PRODUCTS SDN. BHD.,PAHANG PHARMACY SDN. BHD.
MAL17025010N,GNC HERBAL PLUS Bilberry Extract Lutein & Zeaxanthin Capsule,HEALTH SUPPLEMENT,00:00.0,00:00.0,42:50.0,ONI Global (Malaysia) Sdn Bhd,NUTRA MANUFACTURING INC
MAL15085086NC,NEW IMAGE COLOSTRUM 550mg TABLETS,HEALTH SUPPLEMENT,00:00.0,00:00.0,49:18.0,N.Z. NEW IMAGE SDN BHD,GMP PHARMACEUTICALS LTD
MAL20032520TC       ,HURIX S MASSAGE BALM,NATURAL PRODUCT,00:00.0,00:00.0,54:55.0,JIN BIN CORPORATION SDN. BHD.,J.B. PHARMACY GROUP SDN. BHD.
MAL20033597T        ,GNC GINSENG GOLD-KOREAN WHITE GINSENG ROOT CAPSULE 500MG,NATURAL PRODUCT,00:00.0,00:00.0,03:55.0,ONI Global (Malaysia) Sdn Bhd,NUTRA MANUFACTURING INC
MAL20051397TC,INDOSHEN OIL,NATURAL PRODUCT,00:00.0,00:00.0,14:20.0,TEONG HUAT MEDICAL SDN. BHD.,DYNAPHARM HERBAL (M) SDN. BHD.
MAL10070584AZ,MENOREST (Tibolone 2.5mg per tablet),PRESCRIPTION,00:00.0,00:00.0,04:12.0,Vitamode  Sdn.bhd,RENATA  LIMITED
MAL11010033X,Unison Glucosamine 250 & Chondroitin 200 Tablet,NON PRESCRIPTION,00:00.0,00:00.0,36:33.0,UNISON NUTRACEUTICALS SDN. BHD.,UNISON NUTRACEUTICALS SDN. BHD.
MAL19950860T        ,DOUBLE DRAGON MEDICAL OIL (LINIMENT),NATURAL PRODUCT,00:00.0,00:00.0,46:02.0,DOUBLE DRAGON MEDICATED OIL,DOUBLE DRAGON MEDICATED OIL
MAL20040122T,H-RELIFF,NATURAL PRODUCT,00:00.0,00:00.0,03:07.0,ANING RESOURCES SDN BHD,ANING RESOURCES SDN BHD
MAL05042004T,YIN YAN COUGH COLD RELIEF   Capsule  425mg,NATURAL PRODUCT,00:00.0,00:00.0,04:22.0,ANING RESOURCES SDN BHD,ANING RESOURCES SDN BHD
MAL06051539T ,ANING BIO Beauty,NATURAL PRODUCT,00:00.0,00:00.0,06:24.0,ANING RESOURCES SDN BHD,ANING RESOURCES SDN BHD
MAL07050141T    ,EXPELIN,NATURAL PRODUCT,00:00.0,00:00.0,07:37.0,ANING RESOURCES SDN BHD,ANING RESOURCES SDN BHD
MAL07050169T    ,Misai Kuching Plus,NATURAL PRODUCT,00:00.0,00:00.0,09:25.0,ANING RESOURCES SDN BHD,ANING RESOURCES SDN BHD
MAL20122251TE,ANING MISAI KUCING TEA,NATURAL PRODUCT,00:00.0,00:00.0,12:34.0,ANING RESOURCES SDN BHD,ANING RESOURCES SDN BHD
MAL08010738AZ    ,Efaclor 125mg/5ml Granules For Oral Suspension,PRESCRIPTION,00:00.0,00:00.0,11:53.0,Duopharma Marketing Sdn. Bhd.,DUOPHARMA MANUFACTURING (BANGI) SDN BHD
MAL04125496AZ,Efurox Capsule 250mg,PRESCRIPTION,00:00.0,00:00.0,14:46.0,Duopharma Marketing Sdn. Bhd.,DUOPHARMA MANUFACTURING (BANGI) SDN BHD
MAL08010739AZ    ,Efaclor 187mg/5ml Granules For Oral Suspension,PRESCRIPTION,00:00.0,00:00.0,15:47.0,Duopharma Marketing Sdn. Bhd.,DUOPHARMA MANUFACTURING (BANGI) SDN BHD
MAL10100022ACZ,SOLULEXIN CAPSULE 250MG,PRESCRIPTION,00:00.0,00:00.0,25:41.0,DUOPHARMA (M) SDN. BHD.,DUOPHARMA MANUFACTURING (BANGI) SDN BHD
MAL10100021ACZ,SOLULEXIN CAPSULE 500MG,PRESCRIPTION,00:00.0,00:00.0,26:39.0,DUOPHARMA (M) SDN. BHD.,DUOPHARMA MANUFACTURING (BANGI) SDN BHD
MAL10100147ACZ,SOLULEXIN GRANULES 125MG/5ML,PRESCRIPTION,00:00.0,00:00.0,27:00.0,DUOPHARMA (M) SDN. BHD.,DUOPHARMA MANUFACTURING (BANGI) SDN BHD
MAL19990763TC       ,GINSENG PLUS CAPSULE,NATURAL PRODUCT,00:00.0,00:00.0,30:22.0,VIEN KHENG TRADING,YONGTIN MEDICAL TRADING
MAL07050896TC   ,Natural Life Royal Jelly 1000 mg,NATURAL PRODUCT,00:00.0,00:00.0,07:55.0,ONI Global (Malaysia) Sdn Bhd,SPHERE HEALTHCARE PTY LTD
MAL20172681TCE,TRUELIFESCIENCES CLEAN LITE POWDER 10gm,NATURAL PRODUCT,00:00.0,00:00.0,12:36.0,TRUELIFESCIENCES SDN BHD,Reishilab Sdn Bhd
MAL15015040N,VITAMIN BEC  ZINC Tablet,HEALTH SUPPLEMENT,00:00.0,00:00.0,20:40.0,PAHANG PHARMACY SDN. BHD.,PAHANG PHARMACY SDN. BHD.
MAL11030003AZ,ZYLOVAA-H  TABLET 100/25MG,PRESCRIPTION,00:00.0,00:00.0,23:18.0,XEPA-SOUL PATTINSON (MALAYSIA) SDN BHD,XEPA-SOUL PATTINSON (MALAYSIA) SDN BHD
MAL19991258T        ,NING SUN PILLS (BIG PILL),NATURAL PRODUCT,00:00.0,00:00.0,33:47.0,WENG LI SDN BHD,WENG LI SDN BHD
MAL12095008NCR,Shaklee Chewable Vita-C Plus,HEALTH SUPPLEMENT,00:00.0,00:00.0,39:35.0,SHAKLEE PRODUCTS (MALAYSIA) SDN. BHD.,LEINER HEALTH PRODUCTS
MAL13045016NC,Shaklee® PHYTOCOL-ST,HEALTH SUPPLEMENT,00:00.0,00:00.0,43:05.0,SHAKLEE PRODUCTS (MALAYSIA) SDN. BHD.,DESERET LABS INC
MAL20172749AEZ,BASALOG Insulin Glargine Injection (rDNA origin) 100 IU/mL,PRESCRIPTION,00:00.0,00:00.0,46:40.0,BIOCON SDN BHD,BIOCON SDN BHD
MAL16045013N,Live-well OCCUgard Tablet,HEALTH SUPPLEMENT,00:00.0,00:00.0,57:47.0,Live-Well Nutraceuticals Sdn. Bhd.,PAHANG PHARMACY SDN. BHD.
MAL09032042X,Appeton Multivitamin Hi-Q Taurine Syrup,HEALTH SUPPLEMENT,00:00.0,00:00.0,02:47.0,KOTRA PHARMA (M) SDN. BHD.,KOTRA PHARMA (M) SDN. BHD.
MAL20162659TCE,Yuen Seng Guan Mai Ling Pills,NATURAL PRODUCT,00:00.0,00:00.0,30:31.0,Yuen Seng Hong Enterprise,EXCEL HERBAL INDUSTRIES SDN. BHD.
MAL20162657TCE,Trust Nature Xtreme Tea,NATURAL PRODUCT,00:00.0,00:00.0,47:58.0,Brand Dynamics Sdn Bhd,Reishilab Sdn Bhd
MAL15065015TC,NeuroAid II MLC 901 Capsule,NATURAL PRODUCT,00:00.0,00:00.0,01:42.0,EP PLUS GROUP SDN. BHD.,Beacons Pharmaceuticals Pte Ltd
MAL20021344T,MISTURA SANG JU (LIQUID) 500ML,NATURAL PRODUCT,00:00.0,00:00.0,24:49.0,ZHONG TI ENTERPRISE SDN. BHD.,MIN KANG DRUG MFG
MAL20021345T,MISTURA FU ZI LI ZHONG LIQUID 500ML,NATURAL PRODUCT,00:00.0,00:00.0,40:33.0,ZHONG TI ENTERPRISE SDN. BHD.,MIN KANG DRUG MFG
MAL19984527T,ESSENCE CORTEX EUCOMMIAE COMPOUND,NATURAL PRODUCT,00:00.0,00:00.0,40:58.0,ZHONG TI ENTERPRISE SDN. BHD.,HUANGSHI CITY BIOLOGICAL PHARM FACTORY
MAL06091557T    ,TEZHI LIUWEI DIHUANG WAN,NATURAL PRODUCT,00:00.0,00:00.0,41:22.0,ZHONG TI ENTERPRISE SDN. BHD.,HUBEI MINKANG PHARM. CO LTD
MAL06091416T    ,BI YUAN WAN,NATURAL PRODUCT,00:00.0,00:00.0,41:49.0,ZHONG TI ENTERPRISE SDN. BHD.,HUBEI MINKANG PHARM. CO LTD
MAL06091417T    ,XIAOYAO WAN,NATURAL PRODUCT,00:00.0,00:00.0,42:10.0,ZHONG TI ENTERPRISE SDN. BHD.,HUBEI MINKANG PHARM. CO LTD
MAL06091419T    ,BUZHONG YIQI WAN,NATURAL PRODUCT,00:00.0,00:00.0,42:39.0,ZHONG TI ENTERPRISE SDN. BHD.,HUBEI MINKANG PHARM. CO LTD
MAL06091420T    ,HUAI JIAO WAN,NATURAL PRODUCT,00:00.0,00:00.0,42:59.0,ZHONG TI ENTERPRISE SDN. BHD.,HUBEI MINKANG PHARM. CO LTD
MAL07101240T,SHUXIN KOUFUYE,NATURAL PRODUCT,00:00.0,00:00.0,43:22.0,ZHONG TI ENTERPRISE SDN. BHD.,HUBEI MINKANG PHARM. CO LTD
MAL08120835TC,BANLANGEN KELI,NATURAL PRODUCT,00:00.0,00:00.0,43:47.0,ZHONG TI ENTERPRISE SDN. BHD.,HUBEI MINKANG PHARM. CO LTD
MAL09100241T,Zhong Ti Chuan Bei Pipa Lu,NATURAL PRODUCT,00:00.0,00:00.0,44:11.0,ZHONG TI ENTERPRISE SDN. BHD.,"Hubei Weishi Bio-Pharmaceutical Co., Ltd"
MAL08031442TC   ,MISTURA ZHONG TI JUANBI,NATURAL PRODUCT,00:00.0,00:00.0,45:05.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08031443TC   ,MISTURA ZHONG TI ZHISOU,NATURAL PRODUCT,00:00.0,00:00.0,45:49.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08042416TC   ,MISTURA ZHONG TI XIAOCHAIHU,NATURAL PRODUCT,00:00.0,00:00.0,46:12.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08082491TC,MISTURA  WUZIYANZONG (ZHONG TI),NATURAL PRODUCT,00:00.0,00:00.0,47:04.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08082490TC,MISTURA SHENQI (ZHONG TI),NATURAL PRODUCT,00:00.0,00:00.0,47:22.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08080447TC,MISTURA ZHONG TI XUEPING,NATURAL PRODUCT,00:00.0,00:00.0,49:27.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08080446TC,MISTURA TAORENCHENGQI (ZHONG TI),NATURAL PRODUCT,00:00.0,00:00.0,49:57.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08082482TC,MISTURA JINYINHUA (ZHONG TI),NATURAL PRODUCT,00:00.0,00:00.0,50:17.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08111825TC,MISTURA FUYUANHUOXUE (ZHONG TI),NATURAL PRODUCT,00:00.0,00:00.0,50:44.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08080445TC,MISTURA YUPINGFENG (ZHONG TI),NATURAL PRODUCT,00:00.0,00:00.0,51:03.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08082481TC,MISTURA JIANBI (ZHONG TI),NATURAL PRODUCT,00:00.0,00:00.0,51:23.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08080444TC,MISTURA SIJUNZI (ZHONG TI),NATURAL PRODUCT,00:00.0,00:00.0,52:30.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08082480TC,MISTURA WEI JING (ZHONG TI ),NATURAL PRODUCT,00:00.0,00:00.0,53:03.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08082479TC,MISTURA XIAOYAO (ZHONG TI),NATURAL PRODUCT,00:00.0,00:00.0,54:17.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08082478TC,MISTURA HESHOUWUDABU (ZHONG TI),NATURAL PRODUCT,00:00.0,00:00.0,54:34.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08080443TC,MISTURA FUFANGJIEGENG (ZHONG TI),NATURAL PRODUCT,00:00.0,00:00.0,54:54.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08042421TC   ,MISTURA ZHONG TI SHENGMAI,NATURAL PRODUCT,00:00.0,00:00.0,55:17.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08080442TC,MISTURA TIANWANGBUXIN (ZHONG TI),NATURAL PRODUCT,00:00.0,00:00.0,03:21.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08051651TC,MISTURA ZHONG TI HAIZAOYUHU,NATURAL PRODUCT,00:00.0,00:00.0,41:43.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08091426TC,MISTURA ZHONG TI CHUANXIONGCHATIAO,NATURAL PRODUCT,00:00.0,00:00.0,42:08.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08080441TC,MISTURA BAIHU (ZHONG TI),NATURAL PRODUCT,00:00.0,00:00.0,42:48.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08051650TC,MISTURA ZHONG TI SHANGKERUXIANG,NATURAL PRODUCT,00:00.0,00:00.0,43:17.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08080440TC,MISTURA LIUYI (ZHONG TI),NATURAL PRODUCT,00:00.0,00:00.0,43:34.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08080439TC,MISTURA YINCHENHAO (ZHONG TI),NATURAL PRODUCT,00:00.0,00:00.0,47:50.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
MAL08051649TC,MISTURA ZHONG TI BAZHENYIMU,NATURAL PRODUCT,00:00.0,00:00.0,48:15.0,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD
